company_id, company_name, company_origin, company_coordinator
1, Company, India, 1
2, Aarti Industries, India, 2
3, Abacus.AI, India, 3
4, Accelaero, India, 4
5, Accenture, India, 5
6, Accenture Japan Ltd, United States, 6
7, Adloid Technologies Pvt Ltd, India, 7
8, Adobe, India, 8
9, Advanced Structural Engineering Consultants India LLP, India, 9
10, Agnikul Cosmos Private Limited, India, 10
11, Agri Process Innovations Technologies, India, 11
12, AI & Robotics Venture, India, 12
13, Airbus, India, 13
14, Al Tebah General Contracting Company, United States, 14
15, AlphaGrep Securities, India, 15
16, Alvarez & Marsal, South Korea, 16
17, Amagi Media Labs Pvt Ltd, India, 17
18, Amazon Development Centre, India, 18
19, Amazon Development Centre (India) Pvt Ltd, India, 19
20, AMD India Pvt Ltd, Hong Kong, 20
21, American Express, Hong Kong, 1
22, Amnex Infotechnologies P Limited, Hong Kong, 2
23, Applied Materials, South Korea, 3
24, APT Portfolio Pvt Ld, India, 4
25, APTIV, India, 5
26, Arjunaa Academy for Achievers, India, 6
27, Arpwood Capital, India, 7
28, Arthur D. Little, India, 8
29, Astrome Technologies Private Limited, India, 9
30, Atlassian, India, 10
31, Atomberg Technologies, India, 11
32, Atyati Technologies Pvt Ltd, India, 12
33, AU Small Finance Bank, India, 13
34, Auctus Advisors Pvt Ltd, India, 14
35, Aura Semiconductor Pvt Ltd, India, 15
36, Aurigene Discovery Technologies Ltd, India, 16
37, Auronova Consulting, India, 17
38, Autolytics Technology Pvt Ltd, India, 18
39, AVA Retail Inc., India, 19
40, Axtria India Pvt Ltd, India, 20
41, Axxela Advisory Services, India, 1
42, Bain & Company, India, 2
43, Bajaj Auto Ltd, India, 3
44, Bank of America, India, 4
45, Barclays India, India, 5
46, BeeHyv, India, 6
47, Blackstone, India, 7
48, Blume Global India Pvt Ltd, India, 8
49, Bombinate Technologies (Koo), India, 9
50, Boston Consulting Group, India, 10
51, Brigosha, India, 11
52, BRND Studio, India, 12
53, BrowserStack, India, 13
54, Bukukas, India, 14
55, BYJU'S - The Learning App, India, 15
56, Cadence, India, 16
57, Cairn Oil & Gas, Vedanta Limited, India, 17
58, Calance Software Private Limited, India, 18
59, Capgemini Technology Services India Limited, Japan, 19
60, Capital Group, India, 20
61, CarDekho, India, 1
62, Cargill, India, 2
63, Centre For Computational Technologies, India, 3
64, Ceremorphic India Pvt Ltd, India, 4
65, Chalo, India, 5
66, Cirel Systems Pvt Ltd, India, 6
67, Citi, India, 7
68, Citymall, India, 8
69, Cogo Freight Pvt Ltd, Japan, 9
70, Cohesity, India, 10
71, CoinDCX, India, 11
72, Colortokens, India, 12
73, Corning Technologies India Pvt Ltd, South Korea, 13
74, Coupa Software India Pvt Ltd, India, 14
75, Cubastion Consulting Pvt Ltd, India, 15
76, Curadev Pharma Private Limited, India, 16
77, Cyber Tech Ltd, India, 17
78, Decimal Technologies Pvt Ltd, India, 18
79, Delightful Gourmet, South Korea, 19
80, Deutsche CIB Centre Private Limited, India, 20
81, Dhani Loans and Services Ltd, India, 1
82, DHL, India, 2
83, Digit Insurance, India, 3
84, Doubtnut, India, 4
85, DPWORLD, India, 5
86, Dr Reddy Laboratories, United States, 6
87, Dream 11, India, 7
88, Dremio India Software Pvt Ltd, India, 8
89, Dynamic Technology Lab Pte Ltd, India, 9
90, Eaton, Japan, 10
91, Edge Focus Partners, India, 11
92, Edgeverve Systems, South Korea, 12
93, EDUHAP Learning Media Pvt Ltd, India, 13
94, Eightfold.AI, India, 14
95, Enphase Energy, India, 15
96, ESRI, India, 16
97, Eversana, India, 17
98, ExamRoom.AI, India, 18
99, EXL Decision Analytics, India, 19
100, ExxonMobil India, India, 20
101, FactWise (FactWise Tech. Pvt Ltd), United States, 1
102, Falkonry, India, 2
103, Famic Technologies Pvt Ltd, India, 3
104, FanCode, India, 4
105, Fare Labs, India, 5
